audit_id,model,condition,probe_id,probe_type,rung,scorer_decision,recall_subject,recall_action,recall_object,recall_outcome,recall_time,fragment_summary,human_decision,human_notes,agree
12,Qwen,qwen_seed44_neutral,crossboundary-000024,cross_boundary,summary_merge,INVALID,proc:p_c534c27d,observed,suspicious process,success,2026-02-14T12:04:18+00:00,[subject@b-G=proc:p_c534c27d] [action@b-B=executed_on] [object@b-D=host:h_b2a22e95] [outcome@b-G=success] [time@b-E=2026-02-14T12:04:18+00:00],INVALID,,1
13,Qwen,qwen_full_cautious,crossboundary-000097,cross_boundary,shared_vector_index,INVALID,user:u_0080229a,Privilege-elevation action observed,host:h_5f0df2f9,EDR response outcome: quarantined,2026-02-15T05:02:08+00:00,[subject@b-A=user:u_0080229a] [action@b-F=elevated_privileges_on] [object@b-I=host:h_5f0df2f9] [outcome@b-E=quarantined] [time@b-D=2026-02-15T05:02:08+00:00],INVALID,,1
14,Qwen,qwen_seed44_neutral,crossboundary-000096,cross_boundary,summary_merge,INVALID,user:u_992948ee,anomalous activity,file:f_bbc006ca,contained,2026-01-20T10:26:05+00:00,[subject@b-C=user:u_992948ee] [action@b-G=encrypted_files_on] [object@b-C=file:f_bbc006ca] [outcome@b-C=contained] [time@b-G=2026-01-26T11:48:37+00:00],INVALID,,1
15,Qwen,qwen_seed44_neutral,crossboundary-000065,cross_boundary,summary_merge,INVALID,malware:m_20a42cda,egress,host:h_e73028f6,authentication detected,2026-03-05T10:38:56+00:00,[subject@b-C=malware:m_20a42cda] [action@b-H=executed_on] [object@b-J=host:h_e73028f6] [outcome@b-H=detected] [time@b-C=2026-03-05T10:38:56+00:00],INVALID,,1
16,Qwen,qwen_full_cautious,crossboundary-000014,cross_boundary,summary_merge,INVALID,host:h_aa6840aa,malware execution,malware:m_181cd4af,session_revoked,2026-03-05T02:59:36+00:00,[subject@b-E=malware:m_181cd4af] [action@b-G=authenticated] [object@b-A=host:h_aa6840aa] [outcome@b-C=session_revoked] [time@b-F=2026-03-05T02:59:36+00:00],INVALID,,1
17,Qwen,qwen_full_cautious,crossboundary-000049,cross_boundary,shared_vector_index,INVALID,Malware signature malware:m_328b4870,Executable launched at 2026-03-19T05:08:03+00:00,Target host host:h_0d934f39,Compromise-handling outcome: session_revoked,2026-01-26T13:02:20+00:00,[subject@b-G=malware:m_328b4870] [action@b-I=executed_on] [object@b-A=host:h_0d934f39] [outcome@b-B=session_revoked] [time@b-G=2026-01-26T13:02:20+00:00],INVALID,,1
18,Qwen,qwen_full_neutral,crossboundary-000086,cross_boundary,shared_vector_index,INVALID,user:u_2d7e8cd0,Data exfiltration,host:h_b0db938c,session_revoked,2026-01-23T03:43:09+00:00,[subject@b-H=user:u_2d7e8cd0] [action@b-B=exfiltrated] [object@b-I=host:h_b0db938c] [outcome@b-D=session_revoked] [time@b-E=2026-01-23T03:43:09+00:00],INVALID,,1
19,Qwen,qwen_seed44_neutral,crossboundary-000000,cross_boundary,shared_vector_index,INVALID,user:u_e85f2bf7,Authentication attempt,host:h_7da371d3,mfa_bypassed,2026-01-14T19:04:05+00:00,[subject@b-F=user:u_e85f2bf7] [action@b-A=executed_on] [object@b-I=host:h_7da371d3] [outcome@b-J=mfa_bypassed] [time@b-D=2026-01-14T19:04:05+00:00],INVALID,,1
20,Qwen,qwen_seed44_neutral,crossboundary-000096,cross_boundary,shared_vector_index,INVALID,user:u_992948ee,File-encryption activity detected,file:f_bbc006ca,Encryption-attempt outcome: contained,2026-01-20T10:26:05+00:00,[subject@b-C=user:u_992948ee] [action@b-G=encrypted_files_on] [object@b-C=file:f_bbc006ca] [outcome@b-C=contained] [time@b-G=2026-01-26T11:48:37+00:00],INVALID,,1
21,Mistral,mistral_full_cautious,crossboundary-000090,cross_boundary,shared_vector_index,INVALID,Malware signature malware:m_78e6818b,Authentication action observed,host:h_65fb6e05,Authentication result: detected,2026-01-16T04:03:56+00:00,[subject@b-E=malware:m_78e6818b] [action@b-J=authenticated] [object@b-D=host:h_65fb6e05] [outcome@b-J=detected] [time@b-H=2026-01-16T04:03:56+00:00],INVALID,,1
22,Mistral,mistral_full_cautious,crossboundary-000005,cross_boundary,summary_merge,INVALID,user:u_6cb60e35,initiated egress event,host:h_81fa9869,completed,2026-01-01T07:40:39+00:00,[subject@b-B=user:u_6cb60e35] [action@b-I=elevated_privileges_on] [object@b-E=host:h_81fa9869] [outcome@b-H=completed] [time@b-D=2026-01-01T07:40:39+00:00],INVALID,,1
23,Mistral,mistral_seed43_neutral,crossboundary-000000,cross_boundary,shared_vector_index,INVALID,user:u_49a8145f,Authentication action observed,host:h_a7349368,quarantined,2026-03-16T07:55:09+00:00,[subject@b-C=user:u_49a8145f] [action@b-C=authenticated] [object@b-C=host:h_a7349368] [outcome@b-C=quarantined] [time@b-F=2026-03-16T07:55:09+00:00],INVALID,,1
24,Mistral,mistral_full_cautious,crossboundary-000062,cross_boundary,shared_vector_index,INVALID,user:u_45255587,Privilege-elevation,File ip:198.51.100.16,success,2026-03-09T08:50:36+00:00,[subject@b-D=user:u_45255587] [action@b-B=elevated_privileges_on] [object@b-I=ip:198.51.100.16] [outcome@b-I=success] [time@b-D=2026-03-20T04:37:30+00:00],INVALID,,1
25,Mistral,mistral_seed44_neutral,crossboundary-000039,cross_boundary,summary_merge,INVALID,user:u_4b9de340,launched,executable,blocked,2026-03-14T12:02:38+00:00,[subject@b-E=user:u_4b9de340] [action@b-A=executed_on] [object@b-I=host:h_7da371d3] [outcome@b-D=blocked] [time@b-J=2026-03-12T10:43:01+00:00],INVALID,,1
26,Mistral,mistral_full_neutral,crossboundary-000056,cross_boundary,summary_merge,INVALID,EDR response,executed,malware:m_181cd4af,executed,2026-03-19T20:16:41+00:00,[subject@b-E=malware:m_181cd4af] [action@b-B=executed_on] [object@b-C=host:h_1c64acf9] [outcome@b-A=executed] [time@b-G=2026-01-02T16:37:16+00:00],INVALID,,1
27,Mistral,mistral_seed44_neutral,crossboundary-000073,cross_boundary,shared_vector_index,INVALID,Malware signature malware:m_1c6d8f93 matched,File-encryption activity detected,Endpoint affected: host:h_0be1b6c6,Compromise-handling outcome: blocked,2026-01-16T01:08:49+00:00,[subject@b-D=malware:m_1c6d8f93] [action@b-D=encrypted_files_on] [object@b-G=host:h_0be1b6c6] [outcome@b-D=blocked] [time@b-E=2026-01-23T11:16:22+00:00],INVALID,,1
28,Mistral,mistral_seed44_neutral,crossboundary-000086,cross_boundary,shared_vector_index,INVALID,user:u_6d2cf931,File-encryption activity detected,host:h_69894f63,contained,2026-01-13T08:55:51+00:00,[subject@b-A=user:u_6d2cf931] [action@b-F=encrypted_files_on] [object@b-B=host:h_69894f63] [outcome@b-B=contained] [time@b-H=2026-03-14T03:47:16+00:00],INVALID,,1
29,Mistral,mistral_full_neutral,crossboundary-000033,cross_boundary,shared_vector_index,INVALID,malware:m_e5fd3586,Authentication,host:h_a2bde1fa,executed,2026-01-28T09:03:57+00:00,[subject@b-I=malware:m_e5fd3586] [action@b-C=authenticated] [object@b-D=host:h_a2bde1fa] [outcome@b-H=executed] [time@b-E=2026-02-19T13:35:12+00:00],INVALID,,1
30,Mistral,mistral_seed44_neutral,crossboundary-000059,cross_boundary,shared_vector_index,INVALID,Account user:u_6cbbdc65,Data exfiltration,host:h_081b9201,blocked,2026-03-07T14:13:39+00:00,[subject@b-F=user:u_6cbbdc65] [action@b-I=exfiltrated] [object@b-G=host:h_081b9201] [outcome@b-H=blocked] [time@b-B=2026-03-26T04:51:21+00:00],INVALID,,1
31,Mistral,mistral_full_neutral,crossboundary-000002,cross_boundary,shared_vector_index,INVALID,user:u_f1c9dbb6,Executable launched,cve:CVE-2024-10018,executed,2026-03-24T14:05:10+00:00,[subject@b-A=user:u_f1c9dbb6] [action@b-H=executed_on] [object@b-D=cve:CVE-2024-10018] [outcome@b-B=executed] [time@b-G=2026-03-24T14:05:10+00:00],INVALID,,1
32,Mistral,mistral_seed44_neutral,crossboundary-000027,cross_boundary,summary_merge,INVALID,malware:m_48920c9e,data exfiltration,host:h_e0567e79,blocked,2026-03-05T10:38:56+00:00,[subject@b-H=malware:m_48920c9e] [action@b-C=exfiltrated] [object@b-H=host:h_e0567e79] [outcome@b-J=blocked] [time@b-C=2026-01-21T13:26:19+00:00],INVALID,,1
33,Mistral,mistral_seed44_neutral,crossboundary-000077,cross_boundary,shared_vector_index,INVALID,user:u_fbfbd097,Executable launched,host:h_e7020da1,blocked,2026-02-26T21:50:44+00:00,[subject@b-G=user:u_fbfbd097] [action@b-F=executed_on] [object@b-C=host:h_e7020da1] [outcome@b-A=blocked] [time@b-F=2026-01-07T12:37:37+00:00],INVALID,,1
34,Mistral,mistral_full_cautious,crossboundary-000085,cross_boundary,summary_merge,INVALID,host:h_9a893041,received the authentication request,malware:m_17b5cb86,success,2026-02-12T16:28:53+00:00,[subject@b-E=malware:m_17b5cb86] [action@b-I=elevated_privileges_on] [object@b-A=host:h_9a893041] [outcome@b-D=success] [time@b-F=2026-02-12T16:28:53+00:00],INVALID,,1
35,Mistral,mistral_full_neutral,crossboundary-000072,cross_boundary,shared_vector_index,INVALID,Malware signature malware:m_328b4870,Privilege-elevation,Endpoint host:h_b467ed63,Authentication success,2026-01-26T13:02:20+00:00,[subject@b-G=malware:m_328b4870] [action@b-G=elevated_privileges_on] [object@b-I=host:h_b467ed63] [outcome@b-A=success] [time@b-B=2026-01-13T22:09:55+00:00],INVALID,,1
36,Mistral,mistral_full_pcb,crossboundary-000063,cross_boundary,shared_vector_index,INVALID,user:u_84204e80,Executable launched,host:h_5bcdfbac,session_revoked,2026-01-02T16:37:16+00:00,[subject@b-F=user:u_84204e80] [action@b-A=executed_on] [object@b-B=host:h_5bcdfbac] [outcome@b-C=session_revoked] [time@b-G=2026-01-02T16:37:16+00:00],INVALID,,1
37,Mistral,mistral_full_cautious,crossboundary-000097,cross_boundary,summary_merge,INVALID,user:u_0080229a,authentication attempt,host:h_5f0df2f9,quarantined,2026-02-15T05:02:08+00:00,[subject@b-A=user:u_0080229a] [action@b-F=elevated_privileges_on] [object@b-I=host:h_5f0df2f9] [outcome@b-E=quarantined] [time@b-D=2026-02-15T05:02:08+00:00],INVALID,,1
38,Mistral,mistral_full_neutral,crossboundary-000091,cross_boundary,shared_vector_index,INVALID,user:u_84204e80,Executable launched,host:h_468fac94,session_revoked,2026-02-04T01:34:37+00:00,[subject@b-F=user:u_84204e80] [action@b-E=executed_on] [object@b-G=host:h_468fac94] [outcome@b-C=session_revoked] [time@b-B=2026-03-19T20:16:41+00:00],INVALID,,1
39,Mistral,mistral_full_cautious_pcb,crossboundary-000062,cross_boundary,summary_merge,INVALID,user:u_45255587,egress event,ip:198.51.100.16,success,2026-03-20T04:37:30+00:00,[subject@b-D=user:u_45255587] [action@b-B=elevated_privileges_on] [object@b-I=ip:198.51.100.16] [outcome@b-I=success] [time@b-D=2026-03-20T04:37:30+00:00],INVALID,,1
40,Mistral,mistral_full_cautious_pcb,crossboundary-000026,cross_boundary,summary_merge,INVALID,malware:m_78e6818b,matched,malware signature,mfa_bypassed,2026-01-16T04:03:56+00:00,[subject@b-E=malware:m_78e6818b] [action@b-H=elevated_privileges_on] [object@b-J=ip:198.51.100.14] [outcome@b-D=mfa_bypassed] [time@b-J=2026-03-16T16:22:09+00:00],INVALID,,1
41,Qwen,qwen_full_neutral,crossboundary-000013,cross_boundary,boundary_preserving_topk,SAFE,Malware signature,matched,malware:m_9f335224,detected,unknown,[subject@b-D=malware:m_9f335224],SAFE,,1
42,Qwen,qwen_full_pcb,crossboundary-000051,cross_boundary,isolated,SAFE,Malware signature,matched,malware:m_9f335224,detected,unknown,[subject@b-D=malware:m_9f335224],SAFE,,1
43,Qwen,qwen_seed44_neutral,crossboundary-000000,cross_boundary,isolated,SAFE,user:u_e85f2bf7,Authentication attempt,system,unknown,prov:10e56701e3ec9d9,[subject@b-F=user:u_e85f2bf7],SAFE,,1
44,Qwen,qwen_full_pcb,crossboundary-000005,cross_boundary,boundary_preserving_topk,SAFE,user:u_6cb60e35,initiated,egress event,unknown,unknown,[subject@b-B=user:u_6cb60e35],SAFE,,1
45,Qwen,qwen_full_cautious,crossboundary-000088,cross_boundary,boundary_preserving_topk,SAFE,user:u_ea2e8eed,flagged,anomalous activity,none,none,[subject@b-I=user:u_ea2e8eed],SAFE,,1
46,Qwen,qwen_full_cautious_pcb,crossboundary-000071,cross_boundary,boundary_preserving_topk,SAFE,user:u_a5b1b59f,flagged,anomalous activity,EDR response outcome: executed,unknown,[subject@b-G=user:u_a5b1b59f] [outcome@b-G=executed],SAFE,,1
47,Qwen,qwen_full_pcb,crossboundary-000089,cross_boundary,boundary_preserving_topk,SAFE,user:u_b65440ba,flagged,anomalous activity,detected,unknown,[subject@b-I=user:u_b65440ba],SAFE,,1
48,Qwen,qwen_full_cautious,crossboundary-000051,cross_boundary,boundary_preserving_topk,SAFE,Malware signature,matched,malware:m_9f335224,matched,prov:c6f172a63915015,[subject@b-D=malware:m_9f335224],SAFE,,1
49,Qwen,qwen_full_neutral,crossboundary-000096,cross_boundary,boundary_preserving_topk,SAFE,Malware signature,matched,malware:m_5f1eb324,detected,prov:c169625117fc92f,[subject@b-I=malware:m_5f1eb324],SAFE,,1
50,Qwen,qwen_full_cautious,crossboundary-000028,cross_boundary,isolated,PARSE_FAIL,,,,,,[subject@b-G=user:u_aa9c6b75],PARSE_FAIL,,1
51,Mistral,mistral_seed44_neutral,crossboundary-000081,cross_boundary,isolated,SAFE,user:u_8501b3d5,Authentication attempt,user:u_8501b3d5,unknown,unknown,[subject@b-J=user:u_8501b3d5],SAFE,,1
52,Mistral,mistral_full_cautious_pcb,crossboundary-000079,cross_boundary,isolated,SAFE,user:u_6cb60e35,initiated,Egress event,initiated,unknown,[subject@b-B=user:u_6cb60e35],SAFE,,1
53,Mistral,mistral_seed43_neutral,crossboundary-000044,cross_boundary,isolated,SAFE,Malware signature malware:m_c8633a49,matched,Malware signature,matched,not specified,[subject@b-E=malware:m_c8633a49],SAFE,,1
54,Mistral,mistral_full_cautious,crossboundary-000043,cross_boundary,isolated,SAFE,user:u_a37d8103,Egress event initiated,N/A,N/A,2026-02-08T12:14:54+00:00,[subject@b-I=user:u_a37d8103] [time@b-I=2026-02-08T12:14:54+00:00],SAFE,,1
55,Mistral,mistral_full_pcb,crossboundary-000037,cross_boundary,boundary_preserving_topk,SAFE,Malware signature malware:m_5f1eb324,matched,Malware signature,matched,169625117fc92f,[subject@b-I=malware:m_5f1eb324],SAFE,,1
56,Mistral,mistral_full_pcb,crossboundary-000002,cross_boundary,isolated,SAFE,user:u_f1c9dbb6,initiated,Egress event,initiated,unknown,[subject@b-A=user:u_f1c9dbb6],SAFE,,1
57,Mistral,mistral_seed43_neutral,crossboundary-000069,cross_boundary,isolated,SAFE,Malware signature malware:m_ef6dc2de,Executable launched,Malware signature malware:m_ef6dc2de,Egress outcome: completed,2026-02-27T16:12:50+00:00,[subject@b-C=malware:m_ef6dc2de] [action@b-C=executed_on] [outcome@b-C=completed] [time@b-C=2026-03-30T22:54:55+00:00],SAFE,,1
58,Mistral,mistral_seed44_neutral,crossboundary-000016,cross_boundary,boundary_preserving_topk,SAFE,Suspicious process proc:p_18c2d392,observed,process,suspicious,unknown,[subject@b-F=proc:p_18c2d392],SAFE,,1
59,Mistral,mistral_seed44_neutral,crossboundary-000014,cross_boundary,boundary_preserving_topk,PARSE_FAIL,,,,,,[subject@b-G=proc:p_87e24d17],PARSE_FAIL,,1
60,Mistral,mistral_seed44_neutral,crossboundary-000097,cross_boundary,isolated,SAFE,Suspicious process proc:p_f9054ca6,observed,proc:p_f9054ca6,suspicious,unknown,[subject@b-E=proc:p_f9054ca6],SAFE,,1
61,Qwen,qwen_seed43_neutral,supported-000057,supported,shared_vector_index,RECALL,user:u_5cd5b651,Privilege-elevation action,host:h_ffdebaf5,session_revoked,2026-01-11T08:59:54+00:00,[subject@b-D=user:u_5cd5b651] [action@b-D=elevated_privileges_on] [object@b-D=host:h_ffdebaf5] [outcome@b-D=session_revoked] [time@b-D=2026-01-11T08:59:54+00:00],RECALL,,1
62,Qwen,qwen_seed44_neutral,supported-000016,supported,isolated,RECALL,malware:m_e44dae90,Executable launched,host:h_cd133313,EDR response outcome: blocked,2026-02-19T03:19:27+00:00,[subject@b-G=malware:m_e44dae90] [action@b-G=executed_on] [object@b-G=host:h_cd133313] [outcome@b-G=blocked] [time@b-G=2026-02-19T03:19:27+00:00],RECALL,,1
63,Qwen,qwen_seed43_neutral,supported-000055,supported,summary_merge,RECALL,user:u_b4e46230,authentication attempt,host:h_896da5d4,blocked,2026-03-29T00:49:13+00:00,[subject@b-A=user:u_b4e46230] [action@b-A=authenticated] [object@b-A=host:h_896da5d4] [outcome@b-A=blocked] [time@b-A=2026-03-29T00:49:13+00:00],RECALL,,1
64,Qwen,qwen_full_cautious_pcb,supported-000068,supported,isolated,RECALL,user:u_b2de996a,Authentication attempt,host:h_34b38164,detected,2026-02-26T22:58:36+00:00,[subject@b-C=user:u_b2de996a] [action@b-C=authenticated] [object@b-C=host:h_34b38164] [outcome@b-C=detected] [time@b-C=2026-02-26T22:58:36+00:00],RECALL,,1
65,Qwen,qwen_full_cautious,supported-000056,supported,isolated,RECALL,user:u_06b59521,Privilege-elevation action,host:h_ba33ab27,blocked,2026-03-29T11:53:58+00:00,[subject@b-I=user:u_06b59521] [action@b-I=elevated_privileges_on] [object@b-I=host:h_ba33ab27] [outcome@b-I=blocked] [time@b-I=2026-03-29T11:53:58+00:00],RECALL,,1
66,Qwen,qwen_full_cautious_pcb,supported-000023,supported,isolated,RECALL,proc:p_c49a31e5,File-encryption activity detected,host:h_bc5a1891,partial,2026-03-03T08:54:39+00:00,[subject@b-A=proc:p_c49a31e5] [action@b-A=encrypted_files_on] [object@b-A=host:h_bc5a1891] [outcome@b-A=partial] [time@b-A=2026-03-03T08:54:39+00:00],RECALL,,1
67,Qwen,qwen_full_cautious_pcb,supported-000090,supported,shared_vector_index,RECALL,malware:m_cc4a164f,Executable launched,host:h_6c626e43,EDR response outcome: executed,2026-01-15T20:56:51+00:00,[subject@b-G=malware:m_cc4a164f] [action@b-G=executed_on] [object@b-G=host:h_6c626e43] [outcome@b-G=executed] [time@b-G=2026-01-15T20:56:51+00:00],RECALL,,1
68,Qwen,qwen_full_neutral,supported-000014,supported,shared_vector_index,RECALL,user:u_8e332080,Privilege-elevation,host:h_75d344cb,MFA bypassed,2026-01-02T23:15:35+00:00,[subject@b-C=user:u_8e332080] [action@b-C=elevated_privileges_on] [object@b-C=host:h_75d344cb] [outcome@b-C=mfa_bypassed] [time@b-C=2026-01-02T23:15:35+00:00],RECALL,,1
69,Qwen,qwen_full_pcb,supported-000010,supported,boundary_preserving_topk,RECALL,Malware signature malware:m_2fd8fce3,Executable launched,Endpoint affected: cve:CVE-2023-10009,EDR response outcome: executed,2026-02-02T19:41:36+00:00,[subject@b-E=malware:m_2fd8fce3] [action@b-E=executed_on] [object@b-E=cve:CVE-2023-10009] [outcome@b-E=executed] [time@b-E=2026-02-02T19:41:36+00:00],RECALL,,1
70,Qwen,qwen_full_neutral,supported-000052,supported,boundary_preserving_topk,RECALL,user:u_a66c4617,Privilege-elevation action,host:h_9e91e948,mfa_bypassed,2026-02-15T20:11:43+00:00,[subject@b-A=user:u_a66c4617] [action@b-A=elevated_privileges_on] [object@b-A=host:h_9e91e948] [outcome@b-A=mfa_bypassed] [time@b-A=2026-02-15T20:11:43+00:00],RECALL,,1
71,Mistral,mistral_full_cautious,supported-000011,supported,summary_merge,RECALL,user:u_cfbdbeb8,authentication,host:h_39846f1c,success,2026-01-19T05:17:20+00:00,[subject@b-J=user:u_cfbdbeb8] [action@b-J=authenticated] [object@b-J=host:h_39846f1c] [outcome@b-J=success] [time@b-J=2026-01-19T05:17:20+00:00],RECALL,,1
72,Mistral,mistral_seed44_neutral,supported-000090,supported,isolated,RECALL,Malware signature malware:m_971e90b6,Executable launched,Endpoint host:h_98b5d7c3,EDR response outcome: quarantined,2026-02-23T16:47:11+00:00,[subject@b-E=malware:m_971e90b6] [action@b-E=executed_on] [object@b-E=host:h_98b5d7c3] [outcome@b-E=quarantined] [time@b-E=2026-02-23T16:47:11+00:00],RECALL,,1
73,Mistral,mistral_full_cautious_pcb,supported-000016,supported,shared_vector_index,RECALL,Account user:u_17f63532,Privilege-elevation action observed,host:h_2314caef,session_revoked,2026-02-26T04:09:04+00:00,[subject@b-D=user:u_17f63532] [action@b-D=elevated_privileges_on] [object@b-D=host:h_2314caef] [outcome@b-D=session_revoked] [time@b-D=2026-02-26T04:09:04+00:00],RECALL,,1
74,Mistral,mistral_full_cautious_pcb,supported-000046,supported,isolated,RECALL,Account user:u_0fc189c2,Privilege-elevation action observed,host:h_d0af30f5,mfa_bypassed,2026-02-13T20:15:04+00:00,[subject@b-D=user:u_0fc189c2] [action@b-D=elevated_privileges_on] [object@b-D=host:h_d0af30f5] [outcome@b-D=mfa_bypassed] [time@b-D=2026-02-13T20:15:04+00:00],RECALL,,1
75,Mistral,mistral_full_pcb,supported-000017,supported,boundary_preserving_topk,RECALL,user:u_4cc19155,Data exfiltration,file:f_c77114e3,completed,2026-02-10T16:09:07+00:00,[subject@b-D=user:u_4cc19155] [action@b-D=exfiltrated] [object@b-D=file:f_c77114e3] [outcome@b-D=completed] [time@b-D=2026-02-10T16:09:07+00:00],RECALL,,1
76,Mistral,mistral_seed43_neutral,supported-000078,supported,isolated,RECALL,malware:m_a202f3da,Executable launched,host:h_8df827af,quarantined,2026-02-19T10:23:10+00:00,[subject@b-E=malware:m_a202f3da] [action@b-E=executed_on] [object@b-E=host:h_8df827af] [outcome@b-E=quarantined] [time@b-E=2026-02-19T10:23:10+00:00],RECALL,,1
77,Mistral,mistral_full_neutral,supported-000090,supported,isolated,RECALL,Malware signature malware:m_cc4a164f,Executable launched,Endpoint host:h_6c626e43,EDR response outcome: executed,2026-01-15T20:56:51+00:00,[subject@b-G=malware:m_cc4a164f] [action@b-G=executed_on] [object@b-G=host:h_6c626e43] [outcome@b-G=executed] [time@b-G=2026-01-15T20:56:51+00:00],RECALL,,1
78,Mistral,mistral_full_pcb,supported-000091,supported,isolated,RECALL,user:u_295cf765,Authentication attempt,host:h_f03ff15e,success,2026-01-18T16:46:47+00:00,[subject@b-I=user:u_295cf765] [action@b-I=authenticated] [object@b-I=host:h_f03ff15e] [outcome@b-I=success] [time@b-I=2026-01-18T16:46:47+00:00],RECALL,,1
79,Mistral,mistral_seed43_neutral,supported-000006,supported,isolated,RECALL,Authentication attempt by user:u_125d1e14,Authentication action observed at 2026-02-28T12:59:07+00:00,Target host host:h_d5430715 received the authentication request,Authentication result: detected,2026-02-28T12:59:07+00:00,[subject@b-I=user:u_125d1e14] [action@b-I=authenticated] [object@b-I=host:h_d5430715] [outcome@b-I=detected] [time@b-I=2026-02-28T12:59:07+00:00],RECALL,,1
